Date,Time,Symbol,TimeFrame,Direction,Entry,SL,SL2,SL3,TP,TP1,MA,MACD,MACD2,STOCH,STOCH2
23-12-2019,01:29:57,AUDJPY,M15,BUY,75.523,75.3712,75.523,75.6748,75.6748,75.8267,U,U,D,U,D
23-12-2019,05:16:57,AUDJPY,M15,SELL,75.521,75.6235,75.521,75.4185,75.4185,75.3159,D,D,U,D,U
23-12-2019,08:46:04,AUDJPY,M15,BUY,75.607,75.5168,75.607,75.6972,75.6972,75.7873,U,U,D,U,U
23-12-2019,13:55:33,AUDJPY,M15,SELL,75.677,75.7886,75.677,75.5654,75.5654,75.4539,U,D,U,U,D
23-12-2019,18:01:57,AUDJPY,M15,BUY,75.667,75.5539,75.667,75.7801,75.7801,75.8933,U,U,D,U,U
24-12-2019,04:47:56,AUDJPY,M15,SELL,75.609,75.6966,75.609,75.5214,75.5214,75.4338,D,D,D,D,D
26-12-2019,08:17:00,AUDJPY,M15,SELL,75.885,75.9296,75.885,75.8404,75.8404,75.7958,D,D,U,D,U
26-12-2019,13:33:10,AUDJPY,M15,BUY,75.928,75.8628,75.928,75.9932,75.9932,76.0584,D,U,D,U,U
26-12-2019,22:04:53,AUDJPY,M15,SELL,76.08,76.1766,76.08,75.9834,75.9834,75.8867,U,D,U,D,D
26-12-2019,23:08:59,AUDJPY,M15,SELL,0,76.1823,76.08,75.9777,75.9777,75.8753,U,C,C,D,D
26-12-2019,23:13:57,AUDJPY,M15,SELL,76.08,76.1823,76.08,75.9777,75.9777,75.8753,U,D,D,D,D
27-12-2019,04:02:05,AUDJPY,M15,BUY,76.12,76.0226,76.12,76.2174,76.2174,76.3149,U,U,D,U,U
27-12-2019,10:01:00,AUDJPY,M15,BUY,76.185,76.0939,76.185,76.2761,76.2761,76.3673,U,U,U,D,D
06-01-2020,17:36:07,AUDJPY,M15,BUY,75.123,74.9425,75.123,75.3035,75.3035,75.484,U,U,D,D,U
07-01-2020,03:37:57,AUDJPY,M15,BUY,75.218,75.0583,75.218,75.3777,75.3777,75.5374,U,U,D,U,U
07-01-2020,06:01:57,AUDJPY,M15,SELL,74.937,75.0896,74.937,74.7844,74.7844,74.6318,D,D,D,D,D
07-01-2020,16:03:57,AUDJPY,M15,BUY,74.584,74.3669,74.584,74.8011,74.8011,75.0181,D,U,D,U,U
08-01-2020,00:33:56,AUDJPY,M15,SELL,73.789,74.2172,73.789,73.3608,73.3608,72.9326,D,D,D,U,D
08-01-2020,02:51:57,AUDJPY,M15,BUY,74.501,73.9117,74.501,75.0903,75.0903,75.6796,U,U,D,U,U
08-01-2020,15:15:56,AUDJPY,M15,SELL,74.526,74.7226,74.526,74.3294,74.3294,74.1328,U,D,U,D,D
08-01-2020,17:27:56,AUDJPY,M15,BUY,74.951,74.6442,74.951,75.2578,75.2578,75.5646,U,U,D,U,U
08-01-2020,20:47:56,AUDJPY,M15,SELL,74.988,75.1123,74.988,74.8637,74.8637,74.7393,U,D,U,D,D
