Date,Time,Symbol,TimeFrame,Direction,Entry,SL,SL2,SL3,TP,TP1,MA,MACD,MACD2,STOCH,STOCH2
26-12-2019,23:09:53,GBPAUD,M15,SELL,0,1.8752,1.8731,1.8709,1.8709,1.8688,D,C,C,D,U
26-12-2019,23:14:00,GBPAUD,M15,SELL,1.8731,1.8752,1.8731,1.8709,1.8709,1.8688,D,D,D,D,U
27-12-2019,04:39:53,GBPAUD,M15,BUY,1.8699,1.8666,1.8699,1.8731,1.8731,1.8763,D,U,D,U,U
27-12-2019,20:01:59,GBPAUD,M15,SELL,1.8742,1.8774,1.8742,1.8709,1.8709,1.8677,U,D,D,U,D
02-01-2020,13:30:55,GBPAUD,M15,SELL,1.8843,1.8883,1.8843,1.8802,1.8802,1.8762,U,D,D,D,D
03-01-2020,10:18:54,GBPAUD,M15,BUY,1.8854,1.8805,1.8854,1.8903,1.8903,1.8952,U,U,D,U,D
03-01-2020,12:33:54,GBPAUD,M15,SELL,1.8818,1.8861,1.8818,1.8774,1.8774,1.8731,D,D,D,D,D
06-01-2020,03:30:58,GBPAUD,M15,BUY,1.8843,1.8809,1.8843,1.8876,1.8876,1.891,U,U,U,U,D
06-01-2020,07:49:58,GBPAUD,M15,SELL,1.883,1.8858,1.883,1.8801,1.8801,1.8772,U,D,U,D,D
06-01-2020,10:17:57,GBPAUD,M15,BUY,1.8908,1.8847,1.8908,1.8969,1.8969,1.9031,U,U,U,D,U
07-01-2020,03:36:57,GBPAUD,M15,SELL,1.8989,1.9022,1.8989,1.8956,1.8956,1.8923,U,D,D,D,D
07-01-2020,06:01:57,GBPAUD,M15,BUY,1.9027,1.8994,1.9027,1.906,1.906,1.9093,U,U,D,U,U
07-01-2020,19:52:00,GBPAUD,M15,SELL,1.9106,1.9136,1.9106,1.9075,1.9075,1.9045,U,D,D,D,D
08-01-2020,07:09:56,GBPAUD,M15,BUY,1.9106,1.9071,1.9106,1.9142,1.9142,1.9178,D,C,D,U,U
08-01-2020,11:27:56,GBPAUD,M15,SELL,1.91,1.9167,1.91,1.9033,1.9033,1.8966,U,D,U,D,D
08-01-2020,14:45:56,GBPAUD,M15,BUY,1.9134,1.9074,1.9134,1.9193,1.9193,1.9252,U,U,D,U,U
08-01-2020,20:47:56,GBPAUD,M15,BUY,1.9071,1.9049,1.9071,1.9093,1.9093,1.9115,D,U,D,U,U
