Date,Time,Symbol,TimeFrame,Direction,Entry,SL,SL2,SL3,TP,TP1,MA,MACD,MACD2,STOCH,STOCH2
23-12-2019,01:35:04,USDCAD,M15,BUY,1.3157,1.3146,1.3157,1.3168,1.3168,1.3178,U,U,D,D,U
23-12-2019,08:33:40,USDCAD,M15,SELL,1.3149,1.3156,1.3149,1.3141,1.3141,1.3134,D,D,C,U,D
23-12-2019,12:42:58,USDCAD,M15,BUY,1.3153,1.3144,1.3153,1.3162,1.3162,1.3172,U,U,D,U,D
23-12-2019,17:31:57,USDCAD,M15,SELL,1.3154,1.3169,1.3154,1.3138,1.3138,1.3122,D,D,U,D,D
24-12-2019,00:10:59,USDCAD,M15,BUY,1.3147,1.3135,1.3147,1.3159,1.3159,1.3171,D,C,D,U,U
24-12-2019,18:35:12,USDCAD,M15,BUY,1.3166,1.3152,1.3166,1.3179,1.3179,1.3193,U,U,C,U,U
26-12-2019,12:13:28,USDCAD,M15,BUY,1.3153,1.3147,1.3153,1.3158,1.3158,1.3163,D,U,C,U,U
26-12-2019,14:47:32,USDCAD,M15,SELL,1.3131,1.314,1.3131,1.3121,1.3121,1.3112,D,D,C,D,D
26-12-2019,23:10:52,USDCAD,M15,SELL,0,1.3098,1.3109,1.312,1.312,1.3131,D,C,C,U,D
26-12-2019,23:14:02,USDCAD,M15,BUY,1.3109,1.3098,1.3109,1.312,1.312,1.3131,D,U,C,U,D
27-12-2019,21:01:02,USDCAD,M15,BUY,1.3083,1.3069,1.3083,1.3097,1.3097,1.311,D,U,C,U,U
02-01-2020,04:03:58,USDCAD,M15,BUY,1.2986,1.2964,1.2986,1.3009,1.3009,1.3031,D,U,D,U,U
02-01-2020,09:18:04,USDCAD,M15,SELL,1.297,1.2985,1.297,1.2955,1.2955,1.2941,D,D,U,D,D
02-01-2020,11:18:00,USDCAD,M15,BUY,1.2996,1.2979,1.2996,1.3012,1.3012,1.3029,D,U,U,D,U
02-01-2020,15:32:00,USDCAD,M15,SELL,1.2989,1.3011,1.2989,1.2967,1.2967,1.2946,U,D,U,D,D
03-01-2020,07:57:55,USDCAD,M15,SELL,1.2975,1.2989,1.2975,1.296,1.296,1.2946,D,D,U,D,D
03-01-2020,11:01:55,USDCAD,M15,BUY,1.2987,1.2965,1.2987,1.3009,1.3009,1.303,U,U,D,D,U
03-01-2020,16:07:59,USDCAD,M15,SELL,1.2981,1.3005,1.2981,1.2957,1.2957,1.2932,D,D,U,D,D
03-01-2020,18:36:04,USDCAD,M15,BUY,1.2992,1.2977,1.2992,1.3006,1.3006,1.3021,D,U,D,U,U
06-01-2020,00:18:27,USDCAD,M15,SELL,1.2983,1.2997,1.2983,1.2968,1.2968,1.2954,D,D,C,D,U
06-01-2020,06:17:59,USDCAD,M15,BUY,1.2979,1.2974,1.2979,1.2984,1.2984,1.2989,D,U,D,U,U
06-01-2020,13:15:58,USDCAD,M15,BUY,1.2978,1.2964,1.2978,1.2992,1.2992,1.3005,U,U,D,U,U
06-01-2020,17:06:16,USDCAD,M15,SELL,1.2964,1.2983,1.2964,1.2946,1.2946,1.2927,D,D,U,D,D
06-01-2020,20:48:04,USDCAD,M15,BUY,1.2968,1.2959,1.2968,1.2977,1.2977,1.2987,D,U,D,U,D
07-01-2020,18:19:58,USDCAD,M15,SELL,1.3012,1.303,1.3012,1.2993,1.2993,1.2974,U,D,U,D,D
08-01-2020,08:57:58,USDCAD,M15,BUY,1.2995,1.298,1.2995,1.3011,1.3011,1.3026,D,U,C,U,U
08-01-2020,14:33:58,USDCAD,M15,SELL,1.3011,1.3028,1.3011,1.2995,1.2995,1.2978,U,D,U,D,D
08-01-2020,17:33:56,USDCAD,M15,BUY,1.3032,1.3008,1.3032,1.3056,1.3056,1.308,U,U,U,D,D
08-01-2020,20:02:23,USDCAD,M15,SELL,1.3027,1.3041,1.3027,1.3013,1.3013,1.2998,U,D,U,D,D
