Date,Time,Symbol,TimeFrame,Direction,Entry,SL,SL2,SL3,TP,TP1,MA,MACD,MACD2,STOCH,STOCH2
02-01-2020,04:58:02,USDJPY,M15,BUY,108.718,108.598,108.718,108.838,108.838,108.958,U,U,U,D,U
02-01-2020,12:01:54,USDJPY,M15,SELL,108.766,108.842,108.766,108.69,108.69,108.614,U,D,U,D,D
03-01-2020,01:36:05,USDJPY,M15,SELL,108.392,108.5224,108.392,108.2616,108.2616,108.1311,D,D,U,D,D
03-01-2020,10:01:54,USDJPY,M15,BUY,108.06,107.8726,108.06,108.2474,108.2474,108.4348,D,U,U,U,U
03-01-2020,16:58:02,USDJPY,M15,SELL,107.945,108.1589,107.945,107.7311,107.7311,107.5172,D,D,U,U,D
03-01-2020,19:40:02,USDJPY,M15,BUY,108.053,107.875,108.053,108.231,108.231,108.4089,D,U,D,U,U
05-01-2020,23:29:58,USDJPY,M15,SELL,107.798,107.9707,107.798,107.6253,107.6253,107.4527,D,D,U,U,D
06-01-2020,09:32:02,USDJPY,M15,SELL,107.944,108.0976,107.944,107.7904,107.7904,107.6368,D,D,D,D,D
06-01-2020,12:18:21,USDJPY,M15,BUY,108.081,107.9628,108.081,108.1993,108.1993,108.3175,U,U,D,U,U
06-01-2020,21:32:17,USDJPY,M15,SELL,108.4,108.4853,108.4,108.3148,108.3148,108.2295,U,D,U,D,D
07-01-2020,06:01:58,USDJPY,M15,SELL,108.428,108.5034,108.428,108.3526,108.3526,108.2771,U,D,D,D,D
07-01-2020,21:31:58,USDJPY,M15,SELL,108.495,108.5775,108.495,108.4125,108.4125,108.33,U,D,D,D,D
08-01-2020,02:51:57,USDJPY,M15,BUY,108.345,107.8203,108.345,108.8697,108.8697,109.3943,D,U,D,U,U
08-01-2020,14:31:56,USDJPY,M15,SELL,108.667,108.8548,108.667,108.4792,108.4792,108.2914,U,D,U,D,D
08-01-2020,18:22:04,USDJPY,M15,BUY,109.133,108.8568,109.133,109.4092,109.4092,109.6854,U,U,U,D,U
08-01-2020,20:49:56,USDJPY,M15,SELL,109.176,109.3161,109.176,109.0359,109.0359,108.8959,U,D,U,D,D
